Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,47.87,48.79,46.23,48.69,48.45,592524000,172.4,174.0,161.56,170.87,170.07,304818300,175.55,189.95,172.44,181.35,181.35,111427900,49.21,50.0,46.59,48.07,48.07,1185836000,41.2,41.24,37.29,38.53,36.04,2721496400
2017-10-01,48.78,53.18,48.1,51.65,51.41,737076000,171.39,180.8,168.29,180.06,179.22,318146600,182.11,204.38,176.58,196.43,196.43,208657800,48.2,56.14,47.52,55.26,55.26,1666682000,38.56,42.41,38.12,42.26,39.53,2017165200
2017-11-01,51.82,54.0,51.43,51.81,51.56,573720000,182.36,184.25,174.0,177.18,176.35,350998700,197.24,202.48,184.32,187.58,187.58,110996600,55.27,60.67,54.34,58.84,58.84,1543300000,42.47,44.06,41.32,42.96,40.19,2402653600
2017-12-01,51.52,54.32,50.12,52.67,52.42,598810000,176.03,182.28,169.01,176.46,175.63,317095800,186.99,194.49,178.38,191.96,191.96,115103700,58.6,59.74,56.24,58.47,58.47,1155204000,42.49,44.3,41.62,42.31,39.72,2124735200
2018-01-01,52.65,59.9,52.65,59.11,58.83,657748000,177.68,190.66,175.8,186.89,186.01,495655700,196.1,286.81,195.42,270.3,270.3,238377600,58.6,73.63,58.53,72.54,72.54,1927424000,42.54,45.03,41.17,41.86,39.29,2638717600
2018-02-01,58.8,59.37,49.85,55.2,54.93,1026814000,188.22,195.32,167.18,178.32,177.48,516251600,266.41,297.36,236.11,291.38,291.38,184585800,72.25,76.43,63.3,75.62,75.62,2755680000,41.79,45.15,37.56,44.53,41.8,3711577200
2018-03-01,55.48,58.91,49.2,51.86,51.61,1042336000,179.01,186.1,149.02,159.79,159.04,996201700,292.75,333.98,275.9,295.35,295.35,263449400,75.68,80.88,68.26,72.37,72.37,2608002000,44.63,45.88,41.24,41.94,39.54,2854910800
2018-04-01,51.38,54.88,49.71,50.93,50.69,984928000,157.81,177.1,150.51,172.0,171.19,750072700,291.94,338.82,271.22,312.46,312.46,262006000,70.88,81.9,67.64,78.31,78.31,2598392000,41.66,44.74,40.16,41.31,38.94,2664617200
2018-05-01,50.81,55.91,50.39,55.0,54.74,740734000,172.0,192.72,170.23,191.78,190.88,401144100,310.36,356.1,305.73,351.6,351.6,142050800,78.16,81.75,77.3,81.48,81.48,1432310000,41.6,47.59,41.32,46.72,44.03,2483905200
2018-06-01,55.64,60.07,55.3,56.46,56.19,803684000,193.07,203.55,186.43,194.32,193.41,387265600,353.88,423.21,352.82,391.43,391.43,244031800,81.85,88.15,81.75,84.99,84.99,1718826000,47.0,48.55,45.18,46.28,43.79,2110498000
